model,fpr,tpr
dummy,0.0,0.0
dummy,1.0,1.0
logistic_regression,0.0,0.0
logistic_regression,0.00028438714570101434,0.000881057268722467
logistic_regression,0.00037918286093468573,0.003524229074889868
logistic_regression,0.0011375485828040573,0.004405286343612335
logistic_regression,0.0016115271589724144,0.006167400881057269
logistic_regression,0.0026542800265428003,0.007048458149779736
logistic_regression,0.0027490757417764715,0.009691629955947136
logistic_regression,0.003223054317944829,0.01145374449339207
logistic_regression,0.003412645748412172,0.013215859030837005
logistic_regression,0.0037918286093468574,0.014096916299559472
logistic_regression,0.004550194331216229,0.014977973568281937
logistic_regression,0.004834581476917244,0.01762114537444934
logistic_regression,0.005592947198786615,0.018502202643171806
logistic_regression,0.005877334344487629,0.02026431718061674
logistic_regression,0.006351312920655986,0.02290748898678414
logistic_regression,0.006540904351123329,0.02555066079295154
logistic_regression,0.007109678642525358,0.02643171806167401
logistic_regression,0.007394065788226372,0.02907488986784141
logistic_regression,0.009100388662432459,0.029955947136563875
logistic_regression,0.009384775808133473,0.03171806167400881
logistic_regression,0.010143141530002843,0.03436123348017621
logistic_regression,0.010996302967105886,0.03524229074889868
logistic_regression,0.011091098682339559,0.03700440528634361
logistic_regression,0.0112806901128069,0.038766519823788544
logistic_regression,0.011470281543274244,0.04405286343612335
logistic_regression,0.012418238695610958,0.044933920704845816
logistic_regression,0.012702625841311972,0.04669603524229075
logistic_regression,0.012987012987012988,0.04933920704845815
logistic_regression,0.013650582993648687,0.050220264317180616
logistic_regression,0.01384017442411603,0.051982378854625554
logistic_regression,0.014788131576452744,0.05286343612334802
logistic_regression,0.014977723006920088,0.05638766519823789
logistic_regression,0.015451701583088444,0.05726872246696035
logistic_regression,0.016020475874490472,0.05991189427312775
logistic_regression,0.017442411602995544,0.06079295154185022
logistic_regression,0.018011185894397572,0.06255506607929516
logistic_regression,0.018105981609631245,0.06343612334801763
logistic_regression,0.018295573040098587,0.06431718061674009
logistic_regression,0.018485164470565932,0.06696035242290749
logistic_regression,0.01981230448383733,0.06784140969162995
logistic_regression,0.020001895914304672,0.07136563876651983
logistic_regression,0.020475874490473032,0.0722466960352423
logistic_regression,0.0205706702057067,0.07400881057268723
logistic_regression,0.020855057351407715,0.07577092511013216
logistic_regression,0.021234240212342402,0.07841409691629955
logistic_regression,0.021518627358043416,0.08105726872246696
logistic_regression,0.022466584510380132,0.08193832599118943
logistic_regression,0.022750971656081146,0.08370044052863436
logistic_regression,0.023319745947483175,0.08458149779735682
logistic_regression,0.023509337377950516,0.0881057268722467
logistic_regression,0.023983315954118872,0.08986784140969163
logistic_regression,0.024457294530287232,0.09251101321585903
logistic_regression,0.024646885960754573,0.09427312775330396
logistic_regression,0.025689638828324958,0.0960352422907489
logistic_regression,0.02578443454355863,0.09691629955947137
logistic_regression,0.026732391695895346,0.09779735682819383
logistic_regression,0.026921983126362688,0.10220264317180616
logistic_regression,0.02758555313299839,0.10308370044052863
logistic_regression,0.028059531709166745,0.10484581497797357
logistic_regression,0.029102284576737133,0.10572687224669604
logistic_regression,0.029386671722438147,0.10837004405286343
logistic_regression,0.03042942459000853,0.1092511013215859
logistic_regression,0.03080860745094322,0.11101321585903083
logistic_regression,0.030903403166176888,0.11277533039647578
logistic_regression,0.03232533889468196,0.1145374449339207
logistic_regression,0.032420134609915635,0.1171806167400881
logistic_regression,0.033936866053654376,0.11806167400881057
logistic_regression,0.03460043606029008,0.1198237885462555
logistic_regression,0.035358801782159444,0.12070484581497798
logistic_regression,0.03554839321262679,0.12246696035242291
logistic_regression,0.03630675893449616,0.12334801762114538
logistic_regression,0.03687553322589819,0.12422907488986784
logistic_regression,0.037254716086832874,0.12599118942731277
logistic_regression,0.0378234903782349,0.12687224669603525
logistic_regression,0.03829746895440326,0.12863436123348018
logistic_regression,0.03905583467627263,0.12951541850220263
logistic_regression,0.03924542610673998,0.13215859030837004
logistic_regression,0.04133093184188075,0.13303964757709252
logistic_regression,0.04152052327234809,0.13480176211453745
logistic_regression,0.04218409327898379,0.1356828193832599
logistic_regression,0.042468480424684804,0.13656387665198239
logistic_regression,0.04303725471608683,0.13832599118942732
logistic_regression,0.04550194331216229,0.14008810572687225
logistic_regression,0.045596739027395965,0.1436123348017621
logistic_regression,0.045881126173096975,0.1444933920704846
logistic_regression,0.04597592188833065,0.14625550660792952
logistic_regression,0.04692387904066736,0.14713656387665197
logistic_regression,0.04758744904730306,0.14889867841409693
logistic_regression,0.04815622333870509,0.15066079295154186
logistic_regression,0.048345814769172435,0.1515418502202643
logistic_regression,0.04938856763674282,0.15330396475770924
logistic_regression,0.05005213764337852,0.15418502202643172
logistic_regression,0.05062091193478055,0.1568281938325991
logistic_regression,0.05185325623281828,0.15859030837004406
logistic_regression,0.05213764337851929,0.16299559471365638
logistic_regression,0.05289600910038866,0.16387665198237886
logistic_regression,0.053180396246089674,0.16651982378854627
logistic_regression,0.05450753625936108,0.16740088105726872
logistic_regression,0.05498151483552943,0.1682819383259912
logistic_regression,0.055076310550763105,0.17004405286343613
logistic_regression,0.05526590198123045,0.17092511013215858
logistic_regression,0.05583467627263248,0.173568281938326
logistic_regression,0.057540999146838565,0.17533039647577092
logistic_regression,0.0577305905773059,0.17797356828193833
logistic_regression,0.05801497772300692,0.17973568281938326
logistic_regression,0.05867854772964262,0.18237885462555067
logistic_regression,0.06047966631908238,0.18325991189427313
logistic_regression,0.06066925774954972,0.1841409691629956
logistic_regression,0.060953644895250736,0.18590308370044054
logistic_regression,0.0617120106171201,0.186784140969163
logistic_regression,0.06190160204758745,0.19030837004405288
logistic_regression,0.06209119347805479,0.19118942731277533
logistic_regression,0.06228078490852214,0.1947136563876652
logistic_regression,0.06294435491515783,0.19559471365638767
logistic_regression,0.06360792492179354,0.1973568281938326
logistic_regression,0.06446108635889658,0.19823788546255505
logistic_regression,0.0650298606502986,0.19911894273127753
logistic_regression,0.06559863494170064,0.20088105726872246
logistic_regression,0.06664138780927102,0.20176211453744494
logistic_regression,0.06702057067020571,0.20352422907488987
logistic_regression,0.0683477106834771,0.2052863436123348
logistic_regression,0.06958005498151483,0.20704845814977973
logistic_regression,0.07119158214048725,0.20792951541850221
logistic_regression,0.07128637785572092,0.20969162995594715
logistic_regression,0.07147596928618827,0.2105726872246696
logistic_regression,0.07204474357759029,0.21145374449339208
logistic_regression,0.07365627073656271,0.21409691629955946
logistic_regression,0.07422504502796473,0.21585903083700442
logistic_regression,0.0746990236041331,0.2185022026431718
logistic_regression,0.07583657218693715,0.21938325991189428
logistic_regression,0.0760261636174045,0.2211453744493392
logistic_regression,0.07716371220020855,0.22202643171806166
logistic_regression,0.07801687363731159,0.22378854625550662
logistic_regression,0.07811166935254527,0.22466960352422907
logistic_regression,0.08038676651815338,0.22555066079295155
logistic_regression,0.08076594937908807,0.22995594713656387
logistic_regression,0.08237747653806048,0.23083700440528634
logistic_regression,0.08294625082946251,0.23259911894273128
logistic_regression,0.08493696084936961,0.23348017621145375
logistic_regression,0.08503175656460328,0.23524229074889869
logistic_regression,0.08569532657123898,0.23612334801762114
logistic_regression,0.0866432837235757,0.23876651982378855
logistic_regression,0.08702246658451038,0.239647577092511
logistic_regression,0.08721205801497772,0.24052863436123348
logistic_regression,0.08740164944544507,0.2422907488986784
logistic_regression,0.08806521945208076,0.2431718061674009
logistic_regression,0.08834960659778178,0.24493392070484582
logistic_regression,0.08929756375011849,0.24581497797356827
logistic_regression,0.08986633804152053,0.24845814977973568
logistic_regression,0.09100388662432458,0.24933920704845816
logistic_regression,0.09233102663759599,0.2511013215859031
logistic_regression,0.09252061806806332,0.25198237885462554
logistic_regression,0.09479571523367143,0.252863436123348
