model,recall,precision
dummy,1.0,0.09714138993495379
dummy,0.0,1.0
logistic_regression,1.0,0.09714138993495379
logistic_regression,1.0,0.0972745971888927
logistic_regression,1.0,0.097416530769891
logistic_regression,1.0,0.0975588791473268
logistic_regression,1.0,0.0976932346359098
logistic_regression,1.0,0.09783639341436083
logistic_regression,0.9991189427312775,0.09789364640883978
logistic_regression,0.9991189427312775,0.0980375205325495
logistic_regression,0.9991189427312775,0.09817331832741753
logistic_regression,0.9991189427312775,0.09831801629963587
logistic_regression,0.9982378854625551,0.09837631327602674
logistic_regression,0.9982378854625551,0.09851317276758542
logistic_regression,0.9982378854625551,0.09865900383141762
logistic_regression,0.9982378854625551,0.0988052672887416
logistic_regression,0.9982378854625551,0.09895196506550219
logistic_regression,0.9982378854625551,0.09909043204477873
logistic_regression,0.9982378854625551,0.09923797845318384
logistic_regression,0.9973568281938326,0.0992982456140351
logistic_regression,0.9973568281938326,0.0994378074490513
logistic_regression,0.9964757709251101,0.09949854842966482
logistic_regression,0.9955947136563876,0.09955947136563877
logistic_regression,0.9955947136563876,0.09970881496514604
logistic_regression,0.9938325991189427,0.09967305823097994
logistic_regression,0.9938325991189427,0.09982300884955753
logistic_regression,0.9929515418502203,0.09988478241602411
logistic_regression,0.9929515418502203,0.10002662643117068
logistic_regression,0.9929515418502203,0.10017777777777778
logistic_regression,0.9929515418502203,0.10032938662868335
logistic_regression,0.9920704845814978,0.1003922967189729
logistic_regression,0.9920704845814978,0.10053571428571428
logistic_regression,0.9920704845814978,0.10068854511311813
logistic_regression,0.9903083700440528,0.10066272613290346
logistic_regression,0.9903083700440528,0.10080717488789237
logistic_regression,0.9894273127753304,0.1008712835713644
logistic_regression,0.9885462555066079,0.10093558834112991
logistic_regression,0.9885462555066079,0.10109018830525272
logistic_regression,0.9885462555066079,0.10123612740232789
logistic_regression,0.9876651982378855,0.10130128320983192
logistic_regression,0.986784140969163,0.10136663951488822
logistic_regression,0.986784140969163,0.10151364089549533
logistic_regression,0.986784140969163,0.10167029774872913
logistic_regression,0.9850220264317181,0.10164560414583144
logistic_regression,0.9832599118942731,0.1016208340921508
logistic_regression,0.9823788546255506,0.10167791355097575
logistic_regression,0.9814977973568282,0.10174445154808659
logistic_regression,0.9814977973568282,0.10190267105744603
logistic_regression,0.9797356828193833,0.1018688164162697
logistic_regression,0.9797356828193833,0.10202770896412515
logistic_regression,0.9797356828193833,0.10218709795993383
logistic_regression,0.9788546255506608,0.10225494707777266
logistic_regression,0.9779735682819384,0.10231357728822933
logistic_regression,0.9770925110132158,0.10238183161004431
logistic_regression,0.9762114537444934,0.10245030050855293
logistic_regression,0.9762114537444934,0.10260209278636911
logistic_regression,0.9762114537444934,0.10276386570209609
logistic_regression,0.9753303964757709,0.10283325592196935
logistic_regression,0.9726872246696036,0.10271678451804987
logistic_regression,0.9726872246696036,0.10286992172940738
logistic_regression,0.9726872246696036,0.1030331311245917
logistic_regression,0.9726872246696036,0.10319685922602355
logistic_regression,0.9700440528634361,0.10307058603257817
logistic_regression,0.9700440528634361,0.10323488045007033
logistic_regression,0.9700440528634361,0.10339969947407963
logistic_regression,0.9691629955947136,0.10347098109302982
logistic_regression,0.9682819383259912,0.10353273669335845
logistic_regression,0.9674008810572687,0.10360445367050387
logistic_regression,0.9665198237885463,0.1036764010963047
logistic_regression,0.9647577092511013,0.10364410790345481
logistic_regression,0.9638766519823788,0.1037163443306788
logistic_regression,0.9629955947136564,0.10378881397777989
logistic_regression,0.9621145374449339,0.10386151797603196
logistic_regression,0.9612334801762115,0.10392455705848733
logistic_regression,0.9612334801762115,0.1040931208854117
logistic_regression,0.960352422907489,0.10416666666666667
logistic_regression,0.960352422907489,0.10432618683001531
logistic_regression,0.9594713656387666,0.10440034512510785
logistic_regression,0.958590308370044,0.10447474553485692
logistic_regression,0.9568281938325991,0.10445320765605463
logistic_regression,0.9559471365638766,0.10451786918408631
logistic_regression,0.9559471365638766,0.10468930914704747
logistic_regression,0.9559471365638766,0.10486131245771721
logistic_regression,0.9541850220264317,0.10483012293098441
logistic_regression,0.9533039647577093,0.10490595307349235
logistic_regression,0.9515418502202643,0.10488491793726328
