threshold,precision,recall,f1
4.448935210470212e-07,0.09714138993495379,1.0,0.1770808955456744
1.0571054628658226e-06,0.0971497046991355,1.0,0.17709471056327042
1.911878391981601e-06,0.09715802088683445,1.0,0.17710852773659985
2.077601045962748e-06,0.09716633849841623,1.0,0.17712234706616728
2.3649540155042925e-06,0.09717465753424658,1.0,0.17713616855247757
2.563965414599625e-06,0.09718297799469133,1.0,0.1771499921960356
2.8538025267030307e-06,0.09719129988011646,1.0,0.17716381799734643
2.93300709922972e-06,0.09719962319088807,1.0,0.1771776459569154
3.105421678782245e-06,0.09720794792737239,1.0,0.17719147607524782
3.2714127678386265e-06,0.09721627408993576,1.0,0.1772053083528493
3.4093475736321257e-06,0.09722460167894466,1.0,0.1772191427902256
4.039072352560614e-06,0.0972329306947657,1.0,0.17723297938788257
4.048919642788426e-06,0.09724126113776559,1.0,0.17724681814632623
4.153190588084614e-06,0.0972495930083112,1.0,0.17726065906606275
4.212298720301952e-06,0.0972579263067695,1.0,0.1772745021475986
4.658184436617784e-06,0.09726626103350758,1.0,0.17728834739144017
4.789457185605169e-06,0.0972745971888927,1.0,0.1773021947980942
4.8392001845239416e-06,0.0972829347732922,1.0,0.1773160443680675
5.188019227212549e-06,0.09729127378707354,1.0,0.17732989610186706
5.207347199732452e-06,0.09729961423060438,1.0,0.17734375
5.510860746325479e-06,0.0973079561042524,1.0,0.17735760606297366
5.538672856581123e-06,0.09731629940838549,1.0,0.17737146429129552
5.826669207688886e-06,0.09732464414337164,1.0,0.17738532468547313
6.006850419245601e-06,0.09733299030957894,1.0,0.1773991872460144
6.332302636858788e-06,0.09734133790737565,1.0,0.17741305197342713
6.368718205415752e-06,0.09734968693713011,1.0,0.17742691886821946
6.520294948569207e-06,0.09735803739921084,1.0,0.1774407879308997
6.720441360153122e-06,0.09736638929398644,1.0,0.17745465916197622
7.002572457388725e-06,0.09737474262182567,1.0,0.17746853256195763
7.128249334497421e-06,0.09738309738309739,1.0,0.17748240813135263
7.240848488515859e-06,0.09739145357817058,1.0,0.1774962858706701
7.42406562733068e-06,0.0973998112074144,1.0,0.17751016578041914
7.443057575732159e-06,0.09740817027119808,1.0,0.17752404786110892
7.528032732017663e-06,0.097416530769891,1.0,0.17753793211324886
7.837237722981311e-06,0.09742489270386266,1.0,0.17755181853734847
7.892064497705017e-06,0.0974332560734827,1.0,0.1775657071339174
7.930014635273062e-06,0.09744162087912088,1.0,0.17757959790346553
8.084154080136548e-06,0.09744998712114708,1.0,0.1775934908465029
8.70178079917474e-06,0.09745835479993131,1.0,0.17760738596353964
8.8283097882155e-06,0.09746672391584371,1.0,0.17762128325508605
8.9443526065715e-06,0.09747509446925455,1.0,0.17763518272165268
9.244373367321931e-06,0.09748346646053423,1.0,0.1776490843637502
9.434545144219838e-06,0.097405943995877,0.9991189427312775,0.1775064569147687
9.463631521744787e-06,0.0974143114852676,0.9991189427312775,0.17752035065748278
9.609047436624863e-06,0.09742268041237113,0.9991189427312775,0.17753424657534245
1.0237897090793146e-05,0.0974310507775582,0.9991189427312775,0.17754814466885863
1.0276649178636384e-05,0.09743942258119952,0.9991189427312775,0.17756204493854225
1.0414393630796057e-05,0.09744779582366589,0.9991189427312775,0.17757594738490448
1.0602813080599754e-05,0.09745617050532829,0.9991189427312775,0.17758985200845662
1.0746584934228444e-05,0.0974645466265578,0.9991189427312775,0.17760375880971024
1.0753893530979272e-05,0.09747292418772563,0.9991189427312775,0.17761766778917693
1.138454774628576e-05,0.09748130318920313,0.9991189427312775,0.17763157894736842
1.155755503603418e-05,0.09748968363136176,0.9991189427312775,0.17764549228479673
1.1777230077047945e-05,0.09749806551457313,0.9991189427312775,0.17765940780197403
1.2130279491239808e-05,0.09750644883920895,0.9991189427312775,0.17767332549941245
1.216165960495829e-05,0.09751483360564107,0.9991189427312775,0.17768724537762456
1.2404073539855515e-05,0.09752321981424149,0.9991189427312775,0.17770116743712294
1.2422193965802855e-05,0.0975316074653823,0.9991189427312775,0.17771509167842028
1.2982817692181588e-05,0.09753999655943575,0.9991189427312775,0.17772901810202962
1.3125437145590694e-05,0.0975483870967742,0.9991189427312775,0.17774294670846397
1.3150437150563952e-05,0.09755677907777013,0.9991189427312775,0.17775687749823654
1.3221757599648693e-05,0.09756517250279619,0.9991189427312775,0.17777081047186077
1.345529919222497e-05,0.09757356737222508,0.9991189427312775,0.17778474562985028
1.3495398893699642e-05,0.09758196368642974,0.9991189427312775,0.17779868297271872
1.3776393998133767e-05,0.09759036144578313,0.9991189427312775,0.17781262250098004
1.39346072600816e-05,0.09759876065065841,0.9991189427312775,0.1778265642151482
1.3950633770401257e-05,0.09760716130142882,0.9991189427312775,0.17784050811573748
1.3960018194928943e-05,0.09761556339846776,0.9991189427312775,0.17785445420326224
1.4048114397690488e-05,0.09762396694214875,0.9991189427312775,0.17786840247823701
1.4396611130298825e-05,0.09754627636676712,0.9982378854625551,0.17772549019607842
1.4566499368375526e-05,0.09755467539176856,0.9982378854625551,0.17773943054357202
1.467069915146298e-05,0.0975630758632567,0.9982378854625551,0.1777533730781299
1.4906943729360734e-05,0.0974853599724423,0.9973568281938326,0.177610418137601
1.4929445461377548e-05,0.09749375592110929,0.9973568281938326,0.17762435273811392
1.5187167372220532e-05,0.0975021533161068,0.9973568281938326,0.17763828952530403
1.5550830968931186e-05,0.0975105521578086,0.9973568281938326,0.17765222849968612
1.5653774918342118e-05,0.09751895244658856,0.9973568281938326,0.17766616966177512
1.587309852193978e-05,0.09752735418282071,0.9973568281938326,0.17768011301208603
1.6145119300090743e-05,0.0975357573668792,0.9973568281938326,0.17769405855113413
1.6530450201025906e-05,0.0975441619991383,0.9973568281938326,0.17770800627943484
1.6752679800429102e-05,0.09755256807997242,0.9973568281938326,0.17772195619750375
1.6793332236180875e-05,0.0975609756097561,0.9973568281938326,0.1777359083058565
1.6830838454763162e-05,0.097569384588864,0.9973568281938326,0.17774986260500905
1.705503871483564e-05,0.09757779501767089,0.9973568281938326,0.17776381909547737
1.7222331685791492e-05,0.09758620689655173,0.9973568281938326,0.17777777777777778
1.7294925258925163e-05,0.09759462022588154,0.9973568281938326,0.17779173865242656
1.7299944649643158e-05,0.09760303500603552,0.9973568281938326,0.17780570171994028
1.7359925264818984e-05,0.09761145123738899,0.9973568281938326,0.1778196669808357
