selection_rank,model,role,oof_pr_auc,oof_roc_auc,f1_threshold,precision_at_f1,recall_at_f1,f1,top10_precision,top10_recall,top10_lift,fold_pr_auc_mean,fold_pr_auc_std
0,dummy,baseline,0.09714138993495379,0.5,0.0971413899349537,0.09714138993495379,1.0,0.1770808955456744,0.09714138993495378,0.1000513522766176,0.9999999999999999,0.09714139278198838,1.859556182599983e-05
1,lightgbm,candidate,0.3150359378698019,0.6968771284665687,0.102939807122633,0.30857580398162326,0.35506607929515416,0.33019254403932813,0.32335329341317365,0.33303964757709253,3.328687119153763,0.32138778458341966,0.01407556447366694
2,xgboost,candidate,0.2717184326403647,0.6959292548346858,0.2953082621097564,0.28785488958990535,0.32158590308370044,0.30378693300041615,0.2951240376390077,0.3039647577092511,3.0380874500212913,0.30098573485817426,0.0165768834151558
3,random_forest,candidate,0.23666587900192826,0.68004884276147,0.2091649068322981,0.20195838433292534,0.43612334801762115,0.2760736196319018,0.24893071000855432,0.2563876651982379,2.5625607187136112,0.2813970604728889,0.011532388846459414
4,logistic_regression,candidate,0.17878656367340273,0.6545449534227309,0.5794401117348014,0.1931572109138155,0.39295154185022024,0.2590011614401858,0.2292557741659538,0.23612334801762114,2.360021555378858,0.1845185999718103,0.018865903413727857
