fold,inner_best_pr_auc,outer_valid_pr_auc,outer_valid_roc_auc,best_params
1,0.18613096389149822,0.17507620935590562,0.6421821826001628,"{""C"": 1.0, ""class_weight"": ""balanced""}"
2,0.18002183219307386,0.17716662038574738,0.6536943858696787,"{""C"": 0.1, ""class_weight"": ""balanced""}"
3,0.17106816439775244,0.21172410795583543,0.6747854771697601,"{""C"": 0.1, ""class_weight"": ""balanced""}"
4,0.1837568093441838,0.19490378703519046,0.6520408376307493,"{""C"": 0.1, ""class_weight"": ""balanced""}"
5,0.18738633893142684,0.1637222751263726,0.6521578383391506,"{""C"": 0.1, ""class_weight"": ""balanced""}"
