fold,inner_best_pr_auc,outer_valid_pr_auc,outer_valid_roc_auc,best_params
1,0.27610717563644077,0.2992713626656917,0.7055201787168298,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 3.0, ""subsample"": 1.0}"
2,0.2627105802964764,0.31566709291975575,0.726185356076581,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 700, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.0, ""subsample"": 0.9}"
3,0.2866214641950467,0.274856921000212,0.6973777063281625,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""scale_pos_weight"": 9.0, ""subsample"": 0.9}"
4,0.2907360269251507,0.31502852317691926,0.6880911121782158,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 700, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.8}"
5,0.2704486599010556,0.3001047745282927,0.7092761669622323,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.8}"
