selection_rank,model,role,oof_pr_auc,oof_roc_auc,f1_threshold,precision_at_f1,recall_at_f1,f1,top10_precision,top10_recall,top10_lift,fold_pr_auc_mean,fold_pr_auc_std,display_name
0,dummy,baseline,0.09714138993495379,0.5,0.0971413899349537,0.09714138993495379,1.0,0.1770808955456744,0.09714138993495378,0.1000513522766176,0.9999999999999999,0.09714139278198838,1.859556182599983e-05,Dummy Baseline
1,lightgbm,candidate,0.3171893653249886,0.6927289180802156,0.1305258102525069,0.3257243195785777,0.32687224669603526,0.326297273526825,0.31907613344739094,0.32863436123348017,3.2846568662549034,0.32686316607820726,0.017854164253013238,LightGBM
2,xgboost,candidate,0.2717184326403647,0.6959292548346858,0.2953082621097564,0.28785488958990535,0.32158590308370044,0.30378693300041615,0.2951240376390077,0.3039647577092511,3.0380874500212913,0.30098573485817426,0.0165768834151558,XGBoost
3,random_forest,candidate,0.23666587900192826,0.68004884276147,0.2091649068322981,0.20195838433292534,0.43612334801762115,0.2760736196319018,0.24893071000855432,0.2563876651982379,2.5625607187136112,0.2813970604728889,0.011532388846459414,Random Forest
4,logistic_regression,candidate,0.17878677811744348,0.6545452039840927,0.5794402114056347,0.1931572109138155,0.39295154185022024,0.2590011614401858,0.2292557741659538,0.23612334801762114,2.360021555378858,0.1845185181219055,0.01886591331666194,Logistic Regression
